main_question,question_variation,answer,keywords
Can I stay in the hostel during holidays or vacations?,Do I have to leave the hostel during vacation?,"No, students must leave the hostel within 1 week after the semester ends. Special requests for staying during breaks may be submitted to Student Affairs but are not guaranteed.","holidays, vacation, stay, break, leave, hostel"
Can I stay in the hostel during holidays or vacations?,What happens during holiday breaks in the hostel?,"No, students must leave the hostel within 1 week after the semester ends. Special requests for staying during breaks may be submitted to Student Affairs but are not guaranteed.","holidays, vacation, stay, break, leave, hostel"
Can I stay in the hostel during holidays or vacations?,Are hostels open during vacation time?,"No, students must leave the hostel within 1 week after the semester ends. Special requests for staying during breaks may be submitted to Student Affairs but are not guaranteed.","holidays, vacation, stay, break, leave, hostel"
Can I cook my own food in the hostel?,Can I cook my own food in the hostel?,"No, cooking is not allowed. Students are required to take the cafeteria meal plan.","cooking, food, kitchen, meal plan, hostel"
Can I cook my own food in the hostel?,Is cooking allowed in the hostel?,"No, cooking is not allowed. Students are required to take the cafeteria meal plan.","cooking, food, kitchen, meal plan, hostel"
Can I cook my own food in the hostel?,Can I use a kitchen in the hostel?,"No, cooking is not allowed. Students are required to take the cafeteria meal plan.","cooking, food, kitchen, meal plan, hostel"
Can I cook my own food in the hostel?,Am I allowed to prepare my own meals?,"No, cooking is not allowed. Students are required to take the cafeteria meal plan.","cooking, food, kitchen, meal plan, hostel"
Can I cook my own food in the hostel?,Can I cook in my hostel room?,"No, cooking is not allowed. Students are required to take the cafeteria meal plan.","cooking, food, kitchen, meal plan, hostel"
Can I cook my own food in the hostel?,Is there a kitchen in the hostel?,"No, cooking is not allowed. Students are required to take the cafeteria meal plan.","cooking, food, kitchen, meal plan, hostel"
How can I resolve a hostel-related issue or complaint?,How can I resolve a hostel-related issue?,Report issues to the hostel warden or hall tutors. You can also approach Student Affairs for assistance.,"complaint, issue, hostel, resolve, report, Student Affairs"
How can I resolve a hostel-related issue or complaint?,What should I do if I have a problem in the hostel?,Report issues to the hostel warden or hall tutors. You can also approach Student Affairs for assistance.,"complaint, issue, hostel, resolve, report, Student Affairs"
How can I resolve a hostel-related issue or complaint?,How do I report a complaint about the hostel?,Report issues to the hostel warden or hall tutors. You can also approach Student Affairs for assistance.,"complaint, issue, hostel, resolve, report, Student Affairs"
How can I resolve a hostel-related issue or complaint?,Who do I contact for hostel complaints?,Report issues to the hostel warden or hall tutors. You can also approach Student Affairs for assistance.,"complaint, issue, hostel, resolve, report, Student Affairs"
How can I resolve a hostel-related issue or complaint?,Where do I report issues in the hostel?,Report issues to the hostel warden or hall tutors. You can also approach Student Affairs for assistance.,"complaint, issue, hostel, resolve, report, Student Affairs"
How can I resolve a hostel-related issue or complaint?,How to address hostel-related concerns?,Report issues to the hostel warden or hall tutors. You can also approach Student Affairs for assistance.,"complaint, issue, hostel, resolve, report, Student Affairs"
Is there a curfew in the hostel?,Is there a curfew in the hostel?,"Yes, male students have a curfew of 7:00 PM on weekdays, while female students must return by 6:00 PM. On weekends, male students must return by 7:00 PM on Sunday, and female students by 6:00 PM.","curfew, time, return, hostel, weekdays, weekends"
Is there a curfew in the hostel?,What time is the curfew in the hostel?,"Yes, male students have a curfew of 7:00 PM on weekdays, while female students must return by 6:00 PM. On weekends, male students must return by 7:00 PM on Sunday, and female students by 6:00 PM.","curfew, time, return, hostel, weekdays, weekends"
Is there a curfew in the hostel?,What is the curfew for hostel students?,"Yes, male students have a curfew of 7:00 PM on weekdays, while female students must return by 6:00 PM. On weekends, male students must return by 7:00 PM on Sunday, and female students by 6:00 PM.","curfew, time, return, hostel, weekdays, weekends"
Is there a curfew in the hostel?,When do I have to return to the hostel?,"Yes, male students have a curfew of 7:00 PM on weekdays, while female students must return by 6:00 PM. On weekends, male students must return by 7:00 PM on Sunday, and female students by 6:00 PM.","curfew, time, return, hostel, weekdays, weekends"
Is there a curfew in the hostel?,Are there time restrictions in the hostel?,"Yes, male students have a curfew of 7:00 PM on weekdays, while female students must return by 6:00 PM. On weekends, male students must return by 7:00 PM on Sunday, and female students by 6:00 PM.","curfew, time, return, hostel, weekdays, weekends"
Is there a curfew in the hostel?,Curfew hours for hostel students,"Yes, male students have a curfew of 7:00 PM on weekdays, while female students must return by 6:00 PM. On weekends, male students must return by 7:00 PM on Sunday, and female students by 6:00 PM.","curfew, time, return, hostel, weekdays, weekends"
How do I cancel my hostel accommodation if I no longer need it?,How do I cancel my hostel accommodation?,"To cancel your hostel accommodation, inform Student Affairs before the semester starts. If you fail to do so, you will be charged the full fee for the semester.","cancel, hostel, accommodation, reservation, Student Affairs"
How do I cancel my hostel accommodation if I no longer need it?,Can I cancel my hostel booking?,"To cancel your hostel accommodation, inform Student Affairs before the semester starts. If you fail to do so, you will be charged the full fee for the semester.","cancel, hostel, accommodation, reservation, Student Affairs"
How do I cancel my hostel accommodation if I no longer need it?,What if I don't need the hostel anymore?,"To cancel your hostel accommodation, inform Student Affairs before the semester starts. If you fail to do so, you will be charged the full fee for the semester.","cancel, hostel, accommodation, reservation, Student Affairs"
How do I cancel my hostel accommodation if I no longer need it?,How to cancel hostel reservation?,"To cancel your hostel accommodation, inform Student Affairs before the semester starts. If you fail to do so, you will be charged the full fee for the semester.","cancel, hostel, accommodation, reservation, Student Affairs"
How do I cancel my hostel accommodation if I no longer need it?,What happens if I cancel my hostel accommodation?,"To cancel your hostel accommodation, inform Student Affairs before the semester starts. If you fail to do so, you will be charged the full fee for the semester.","cancel, hostel, accommodation, reservation, Student Affairs"
Are there any rules or discipline that every hostel student must follow?,Are there any rules in the hostel?,"Yes, students must follow rules like daily roll call at 7:00 PM, no alcohol or gambling, quiet hours, and no fighting. Violations may lead to disciplinary action.","rules, discipline, hostel, behavior, conduct, violation"
Are there any rules or discipline that every hostel student must follow?,What are the rules for hostel students?,"Yes, students must follow rules like daily roll call at 7:00 PM, no alcohol or gambling, quiet hours, and no fighting. Violations may lead to disciplinary action.","rules, discipline, hostel, behavior, conduct, violation"
Are there any rules or discipline that every hostel student must follow?,What are the hostel discipline rules?,"Yes, students must follow rules like daily roll call at 7:00 PM, no alcohol or gambling, quiet hours, and no fighting. Violations may lead to disciplinary action.","rules, discipline, hostel, behavior, conduct, violation"
Are there any rules or discipline that every hostel student must follow?,What rules must I follow in the hostel?,"Yes, students must follow rules like daily roll call at 7:00 PM, no alcohol or gambling, quiet hours, and no fighting. Violations may lead to disciplinary action.","rules, discipline, hostel, behavior, conduct, violation"
Are there any rules or discipline that every hostel student must follow?,Are there behavior rules for hostel residents?,"Yes, students must follow rules like daily roll call at 7:00 PM, no alcohol or gambling, quiet hours, and no fighting. Violations may lead to disciplinary action.","rules, discipline, hostel, behavior, conduct, violation"
Are there any rules or discipline that every hostel student must follow?,What is expected of hostel students?,"Yes, students must follow rules like daily roll call at 7:00 PM, no alcohol or gambling, quiet hours, and no fighting. Violations may lead to disciplinary action.","rules, discipline, hostel, behavior, conduct, violation"
Where is the hostel located?,Where is the hostel located?,"The hostel is located within the university campus, a 3-minute walk from the main building, and 10 minutes from Mingalar Mandalay and Ocean Supermarket.","location, hostel, campus, distance, main building"
Where is the hostel located?,How far is the hostel from the main building?,"The hostel is located within the university campus, a 3-minute walk from the main building, and 10 minutes from Mingalar Mandalay and Ocean Supermarket.","location, hostel, campus, distance, main building"
Where is the hostel located?,What is the hostel’s address?,"The hostel is located within the university campus, a 3-minute walk from the main building, and 10 minutes from Mingalar Mandalay and Ocean Supermarket.","location, hostel, campus, distance, main building"
Where is the hostel located?,How close is the hostel to the university?,"The hostel is located within the university campus, a 3-minute walk from the main building, and 10 minutes from Mingalar Mandalay and Ocean Supermarket.","location, hostel, campus, distance, main building"
Where is the hostel located?,Where can I find the hostel on campus?,"The hostel is located within the university campus, a 3-minute walk from the main building, and 10 minutes from Mingalar Mandalay and Ocean Supermarket.","location, hostel, campus, distance, main building"
Are there any strict rules that can result in being dismissed from the hostel?,Are there any strict rules that can result in being dismissed from the hostel?,"Yes, if a student receives two F grades in their CGPA grade sheet, they will be disqualified from staying in the hostel. It is important to maintain a satisfactory academic record to continue residing in the hostel.","fail, exam, grades, F grade, dismiss, kick out, remove, academic, performance, CGPA"
Are there any strict rules that can result in being dismissed from the hostel?,What can get me kicked out of the hostel?,"Yes, if a student receives two F grades in their CGPA grade sheet, they will be disqualified from staying in the hostel. It is important to maintain a satisfactory academic record to continue residing in the hostel.","fail, exam, grades, F grade, dismiss, kick out, remove, academic, performance, CGPA"
Are there any strict rules that can result in being dismissed from the hostel?,What if I fail my exams?,"Yes, if a student receives two F grades in their CGPA grade sheet, they will be disqualified from staying in the hostel. It is important to maintain a satisfactory academic record to continue residing in the hostel.","fail, exam, grades, F grade, dismiss, kick out, remove, academic, performance, CGPA"
Are there any strict rules that can result in being dismissed from the hostel?,What if I fail the exam?,"Yes, if a student receives two F grades in their CGPA grade sheet, they will be disqualified from staying in the hostel. It is important to maintain a satisfactory academic record to continue residing in the hostel.","fail, exam, grades, F grade, dismiss, kick out, remove, academic, performance, CGPA"
Are there any strict rules that can result in being dismissed from the hostel?,Can I be removed from hostel for bad grades?,"Yes, if a student receives two F grades in their CGPA grade sheet, they will be disqualified from staying in the hostel. It is important to maintain a satisfactory academic record to continue residing in the hostel.","fail, exam, grades, F grade, dismiss, kick out, remove, academic, performance, CGPA"
Are there any strict rules that can result in being dismissed from the hostel?,What happens if I get F grades?,"Yes, if a student receives two F grades in their CGPA grade sheet, they will be disqualified from staying in the hostel. It is important to maintain a satisfactory academic record to continue residing in the hostel.","fail, exam, grades, F grade, dismiss, kick out, remove, academic, performance, CGPA"
Are there any strict rules that can result in being dismissed from the hostel?,Will failing subjects affect my hostel stay?,"Yes, if a student receives two F grades in their CGPA grade sheet, they will be disqualified from staying in the hostel. It is important to maintain a satisfactory academic record to continue residing in the hostel.","fail, exam, grades, F grade, dismiss, kick out, remove, academic, performance, CGPA"
Are there any strict rules that can result in being dismissed from the hostel?,Academic performance requirements for hostel,"Yes, if a student receives two F grades in their CGPA grade sheet, they will be disqualified from staying in the hostel. It is important to maintain a satisfactory academic record to continue residing in the hostel.","fail, exam, grades, F grade, dismiss, kick out, remove, academic, performance, CGPA"
Are there any strict rules that can result in being dismissed from the hostel?,Minimum grades required to stay in hostel,"Yes, if a student receives two F grades in their CGPA grade sheet, they will be disqualified from staying in the hostel. It is important to maintain a satisfactory academic record to continue residing in the hostel.","fail, exam, grades, F grade, dismiss, kick out, remove, academic, performance, CGPA"
Are there any strict rules that can result in being dismissed from the hostel?,Consequences of poor academic performance,"Yes, if a student receives two F grades in their CGPA grade sheet, they will be disqualified from staying in the hostel. It is important to maintain a satisfactory academic record to continue residing in the hostel.","fail, exam, grades, F grade, dismiss, kick out, remove, academic, performance, CGPA"
Are there any strict rules that can result in being dismissed from the hostel?,Rules for dismissal from hostel,"Yes, if a student receives two F grades in their CGPA grade sheet, they will be disqualified from staying in the hostel. It is important to maintain a satisfactory academic record to continue residing in the hostel.","fail, exam, grades, F grade, dismiss, kick out, remove, academic, performance, CGPA"
Are there any strict rules that can result in being dismissed from the hostel?,What can lead to hostel termination?,"Yes, if a student receives two F grades in their CGPA grade sheet, they will be disqualified from staying in the hostel. It is important to maintain a satisfactory academic record to continue residing in the hostel.","fail, exam, grades, F grade, dismiss, kick out, remove, academic, performance, CGPA"
Who is the hostel warden and the hall tutor?,Who is the hostel warden?,The hostel warden and hall tutors are university faculty members assigned each semester.,"warden, hall tutor, faculty, hostel, staff"
Who is the hostel warden and the hall tutor?,What is the role of the hostel warden?,The hostel warden and hall tutors are university faculty members assigned each semester.,"warden, hall tutor, faculty, hostel, staff"
Who is the hostel warden and the hall tutor?,Who is in charge of the hostel?,The hostel warden and hall tutors are university faculty members assigned each semester.,"warden, hall tutor, faculty, hostel, staff"
Who is the hostel warden and the hall tutor?,What does a hall tutor do?,The hostel warden and hall tutors are university faculty members assigned each semester.,"warden, hall tutor, faculty, hostel, staff"
Who is the hostel warden and the hall tutor?,Who manages the hostel?,The hostel warden and hall tutors are university faculty members assigned each semester.,"warden, hall tutor, faculty, hostel, staff"
How do I check if I have been allotted a hostel room?,How do I check if I have a hostel room?,Check the hostel student list at the Student Affairs office for the names of students who have been allotted rooms.,"allotment, room, check, hostel, list, Student Affairs"
How do I check if I have been allotted a hostel room?,Where can I find out if I got a room in the hostel?,Check the hostel student list at the Student Affairs office for the names of students who have been allotted rooms.,"allotment, room, check, hostel, list, Student Affairs"
How do I check if I have been allotted a hostel room?,How can I confirm my hostel allocation?,Check the hostel student list at the Student Affairs office for the names of students who have been allotted rooms.,"allotment, room, check, hostel, list, Student Affairs"
How do I check if I have been allotted a hostel room?,Where can I see the hostel student list?,Check the hostel student list at the Student Affairs office for the names of students who have been allotted rooms.,"allotment, room, check, hostel, list, Student Affairs"
How do I check if I have been allotted a hostel room?,How do I know if I have been allotted a hostel room?,Check the hostel student list at the Student Affairs office for the names of students who have been allotted rooms.,"allotment, room, check, hostel, list, Student Affairs"
How do I get water support?,How do I get water support?,Water can be purchased from the campus support staff or collected from the water truck that comes to the hostel every Sunday.,"water, support, hostel, bottle, truck, campus"
How do I get water support?,Where can I get water in the hostel?,Water can be purchased from the campus support staff or collected from the water truck that comes to the hostel every Sunday.,"water, support, hostel, bottle, truck, campus"
How do I get water support?,How do I get drinking water?,Water can be purchased from the campus support staff or collected from the water truck that comes to the hostel every Sunday.,"water, support, hostel, bottle, truck, campus"
How do I get water support?,Is water provided in the hostel?,Water can be purchased from the campus support staff or collected from the water truck that comes to the hostel every Sunday.,"water, support, hostel, bottle, truck, campus"
How do I get water support?,Where can I get bottled water in the hostel?,Water can be purchased from the campus support staff or collected from the water truck that comes to the hostel every Sunday.,"water, support, hostel, bottle, truck, campus"
When do I have to apply for the hostel?,When do I need to apply for the hostel?,First-year students can apply during registration at Student Affairs. Continuing students should apply for the next semester's accommodation before the current semester ends.,"apply, hostel, deadline, semester, first-year, continuing"
When do I have to apply for the hostel?,How soon do I have to apply for the hostel?,First-year students can apply during registration at Student Affairs. Continuing students should apply for the next semester's accommodation before the current semester ends.,"apply, hostel, deadline, semester, first-year, continuing"
When do I have to apply for the hostel?,When should I apply for hostel accommodation?,First-year students can apply during registration at Student Affairs. Continuing students should apply for the next semester's accommodation before the current semester ends.,"apply, hostel, deadline, semester, first-year, continuing"
When do I have to apply for the hostel?,When is the hostel application deadline?,First-year students can apply during registration at Student Affairs. Continuing students should apply for the next semester's accommodation before the current semester ends.,"apply, hostel, deadline, semester, first-year, continuing"
When do I have to apply for the hostel?,Hostel application timing,First-year students can apply during registration at Student Affairs. Continuing students should apply for the next semester's accommodation before the current semester ends.,"apply, hostel, deadline, semester, first-year, continuing"
